,album,album_id,album_release_date,album_cover_url,album_cover_url_large,track_id,track_name,track_number,disc_number,explicit_flag,track_popularity,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,0lqAn1YfFVQ3SdoF7tRZO2,THE BEACH,1,1,True,58,67.209,0.593,0.947,4,-6.206,0,0.631,0.888,0.0,0.823,0.682,157.85,4
1,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,7CvtBcThQ4piVKkfUXieig,AYE! (FREE THE HOMIES),2,1,True,60,185.879,0.745,0.69,3,-7.063,1,0.0628,0.215,0.0,0.0779,0.287,95.022,4
2,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,3MVFHHeksQCnVuKOjPN01M,DJ QUIK,3,1,True,57,140.297,0.829,0.593,1,-11.431,0,0.138,0.422,0.00029,0.192,0.818,86.007,4
3,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,7jN5Abri3a1crehbnlWa1F,MAGIC,4,1,True,63,226.006,0.743,0.601,4,-6.684,0,0.181,0.272,9.65e-05,0.496,0.284,89.97,4
4,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,77JeMQGOagAhWcMd99RYCO,NAMELESS,5,1,False,53,48.225,0.553,0.341,11,-11.554,0,0.0958,0.887,0.434,0.14,0.398,66.202,3
5,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,1jhdCONafFj1hzJsPvZx27,WHEN SPARKS FLY,6,1,True,63,227.873,0.699,0.782,2,-5.538,1,0.124,0.00664,0.000517,0.182,0.227,161.721,4
6,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,0mTWyEt0taYEFpUfAyjqmf,EAST POINT PRAYER,7,1,True,59,217.855,0.598,0.553,5,-8.911,1,0.344,0.0766,0.0,0.364,0.201,77.779,4
7,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,51AP51OFGujGTmBoS7Pf14,SLIDE,8,1,True,56,138.004,0.748,0.449,6,-12.324,0,0.446,0.207,0.00297,0.774,0.829,81.994,4
8,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,1yfymqHHUZeDisKm7L2X2d,PAPERCUTS,9,1,True,57,181.412,0.724,0.64,5,-10.152,1,0.154,0.301,0.0,0.064,0.705,151.049,4
9,RAMONA PARK BROKE MY HEART,2G549zeda2XNICgLmU0pNW,2022-04-08,https://i.scdn.co/image/ab67616d000048519fd6f55c35811d79d01f94ef,https://i.scdn.co/image/ab67616d00001e029fd6f55c35811d79d01f94ef,5Z3mR4zAX4K3krt4JAOpmx,LEMONADE,10,1,True,64,179.674,0.79,0.576,10,-6.991,0,0.0923,0.272,0.0,0.0925,0.574,103.011,4
